county,level2_ports,dcfc_ports,ports_total,ev_count,ports_per_1000_evs,dcfc_share,siting_score
Alameda,3366.0,594.0,3960.0,117262,33.770530947792125,0.15,0.605026466681766
Alpine,0.0,0.0,0.0,40,0.0,0.0,0.6000090013420183
Amador,99.0,0.0,99.0,683,144.94875549048317,0.0,0.21035253988982353
Butte,297.0,99.0,396.0,2965,133.55817875210792,0.25,0.2428818157761289
Calaveras,0.0,0.0,0.0,893,0.0,0.0,0.6007070145003437
Colusa,0.0,0.0,0.0,156,0.0,0.0,0.60010392458512
Contra Costa,297.0,198.0,495.0,71831,6.8911751193774275,0.4,0.6402057306705811
Del Norte,0.0,0.0,0.0,227,0.0,0.0,0.6001620241563287
El Dorado,693.0,0.0,693.0,7716,89.81337480559876,0.0,0.36452472890030496
Fresno,198.0,0.0,198.0,17934,11.040481766477082,0.0,0.5849322320865239
Glenn,0.0,0.0,0.0,215,0.0,0.0,0.6001522045104907
Humboldt,99.0,0.0,99.0,2931,33.776867963152505,0.0,0.5114519142590118
Imperial,0.0,0.0,0.0,1825,0.0,0.0,0.6014696736604366
Inyo,0.0,0.0,0.0,302,0.0,0.0,0.6002233969428169
Kern,297.0,99.0,396.0,12741,31.080762891452792,0.25,0.5267370283840003
Kings,0.0,0.0,0.0,1540,0.0,0.0,0.6012364570717816
Lake,0.0,0.0,0.0,967,0.0,0.0,0.600767568983012
Lassen,0.0,0.0,0.0,72,0.0,0.0,0.6000351870642532
Los Angeles,96921.0,3267.0,100188.0,488845,204.94839877670836,0.03260869565217391,0.44830636769485105
Madera,0.0,0.0,0.0,2351,0.0,0.0,0.6019001014696737
Marin,198.0,0.0,198.0,23280,8.505154639175258,0.0,0.5961316452730465
Mariposa,0.0,0.0,0.0,259,0.0,0.0,0.6001882098785637
Mendocino,99.0,0.0,99.0,2005,49.37655860349127,0.0,0.46870188762875375
Merced,99.0,0.0,99.0,3803,26.03207993689193,0.0,0.5330134069773507
Modoc,0.0,0.0,0.0,29,0.0,0.0,0.6
Mono,0.0,0.0,0.0,224,0.0,0.0,0.6001595692448692
Monterey,396.0,198.0,594.0,10687,55.58154767474502,0.3333333333333333,0.45910340210321077
Napa,99.0,0.0,99.0,6593,15.015925982102228,0.0,0.5649504852326276
Nevada,0.0,0.0,0.0,3097,0.0,0.0,0.602510556119276
Orange,2772.0,792.0,3564.0,220968,16.129032258064516,0.2222222222222222,0.7373780336407012
Placer,198.0,99.0,297.0,22040,13.475499092558984,0.3333333333333333,0.5817374471514005
Plumas,0.0,0.0,0.0,166,0.0,0.0,0.6001121076233183
Riverside,2277.0,495.0,2772.0,88375,31.366336633663366,0.17857142857142858,0.5878598932385998
Sacramento,2970.0,396.0,3366.0,59418,56.649500151469255,0.11764705882352941,0.4961053805555739
San Benito,0.0,0.0,0.0,2403,0.0,0.0,0.6019426532683054
San Bernardino,990.0,495.0,1485.0,66510,22.32746955345061,0.3333333333333333,0.5942990994489825
San Diego,1188.0,495.0,1683.0,167603,10.04158636778578,0.29411764705882354,0.7100958390884607
San Francisco,1287.0,0.0,1287.0,44579,28.870095785010882,0.0,0.5587410050847507
San Joaquin,297.0,99.0,396.0,25061,15.80144447547983,0.25,0.5779484096302288
San Luis Obispo,1287.0,99.0,1386.0,11310,122.54641909814323,0.07142857142857142,0.27935274288151873
San Mateo,198.0,0.0,198.0,64456,3.071862976293906,0.0,0.6444518166102435
Santa Barbara,297.0,99.0,396.0,14758,26.83290418755929,0.25,0.5398222137283851
Santa Clara,2970.0,396.0,3366.0,172978,19.45912196926777,0.11764705882352941,0.689143477960334
Santa Cruz,0.0,0.0,0.0,12096,0.0,0.0,0.6098744721940362
Shasta,99.0,0.0,99.0,2475,40.0,0.0,0.4943269299950087
Sierra,0.0,0.0,0.0,29,0.0,0.0,0.6
Siskiyou,0.0,0.0,0.0,385,0.0,0.0,0.6002913161598639
Solano,3168.0,99.0,3267.0,15928,205.11049723756906,0.030303030303030304,0.0608802327864259
Sonoma,792.0,198.0,990.0,23251,42.57881381445959,0.2,0.5043861888545439
Stanislaus,99.0,0.0,99.0,9903,9.99697061496516,0.0,0.581169426328704
Sutter,0.0,0.0,0.0,1490,0.0,0.0,0.6011955418807895
Tehama,0.0,0.0,0.0,490,0.0,0.0,0.6003772380609472
Trinity,0.0,0.0,0.0,112,0.0,0.0,0.6000679192170468
Tulare,99.0,99.0,198.0,5178,38.238702201622246,0.5,0.5012799829299338
Tuolumne,0.0,0.0,0.0,851,0.0,0.0,0.6006726457399103
Ventura,2079.0,198.0,2277.0,40322,56.47041317394971,0.08695652173913043,0.4809611289628355
Yolo,1782.0,99.0,1881.0,8439,222.8937077852826,0.05263157894736842,0.0068819351248731635
Yuba,0.0,0.0,0.0,1344,0.0,0.0,0.6010760695230926
