region,level2_ports,dcfc_ports,ports_total,dcfc_share
Pasadena,3168,0,3168,0.0
Playa Del Rey,2079,0,2079,0.0
Vacaville,1980,0,1980,0.0
Wilmington,1980,0,1980,0.0
San Francisco,1287,0,1287,0.0
Northridge,1287,0,1287,0.0
Universal City,990,0,990,0.0
Santa Ana,792,0,792,0.0
Ventura,594,0,594,0.0
Camarillo,495,0,495,0.0
Placerville,495,0,495,0.0
Oakland,396,0,396,0.0
San Pedro,396,0,396,0.0
Westlake Village,396,0,396,0.0
Citrus Heights,396,0,396,0.0
Brea,396,0,396,0.0
Escondido,297,0,297,0.0
Arcadia,297,0,297,0.0
Baldwin Park,297,0,297,0.0
Newbury Park,198,0,198,0.0
Palm Springs,198,0,198,0.0
El Dorado Hills,198,0,198,0.0
Fair Oaks,198,0,198,0.0
Culver City,198,0,198,0.0
Burlingame,198,0,198,0.0
Lakewood,198,0,198,0.0
Malibu,198,0,198,0.0
Larkspur,198,0,198,0.0
Indian Wells,198,0,198,0.0
San Dimas,198,0,198,0.0
Sepulveda,198,0,198,0.0
Sylmar,198,0,198,0.0
Carmichael,99,0,99,0.0
Merced,99,0,99,0.0
Granite Bay,99,0,99,0.0
Fresno,99,0,99,0.0
Gardena,99,0,99,0.0
La Jolla,99,0,99,0.0
Eureka,99,0,99,0.0
El Cajon,99,0,99,0.0
Antelope,99,0,99,0.0
Campbell,99,0,99,0.0
Concord,99,0,99,0.0
Clovis,99,0,99,0.0
Duarte,99,0,99,0.0
Gilroy,99,0,99,0.0
Redding,99,0,99,0.0
Mission Hills,99,0,99,0.0
Hemet,99,0,99,0.0
Rio Vista,99,0,99,0.0
Oak View,99,0,99,0.0
Modesto,99,0,99,0.0
Napa,99,0,99,0.0
National City,99,0,99,0.0
Victorville,99,0,99,0.0
South Gate,99,0,99,0.0
Ukiah,99,0,99,0.0
Sutter Creek,99,0,99,0.0
Vallejo,99,0,99,0.0
Tracy,99,0,99,0.0
Dixon,0,0,0,0.0
South Pasadena,0,0,0,0.0
