county,level2_ports,dcfc_ports,ports_total,ev_count,ports_per_1000_evs,dcfc_share,siting_score
Orange,2772.0,792.0,3564.0,220968,16.129032258064516,0.2222222222222222,0.7373780336407012
San Diego,1188.0,495.0,1683.0,167603,10.04158636778578,0.29411764705882354,0.7100958390884607
Santa Clara,2970.0,396.0,3366.0,172978,19.45912196926777,0.11764705882352941,0.689143477960334
San Mateo,198.0,0.0,198.0,64456,3.071862976293906,0.0,0.6444518166102435
Contra Costa,297.0,198.0,495.0,71831,6.8911751193774275,0.4,0.6402057306705811
Santa Cruz,0.0,0.0,0.0,12096,0.0,0.0,0.6098744721940362
Alameda,3366.0,594.0,3960.0,117262,33.770530947792125,0.15,0.605026466681766
Nevada,0.0,0.0,0.0,3097,0.0,0.0,0.602510556119276
San Benito,0.0,0.0,0.0,2403,0.0,0.0,0.6019426532683054
Madera,0.0,0.0,0.0,2351,0.0,0.0,0.6019001014696737
