station_name,city,zip,county,level2_ports,dcfc_ports,total_ports,likely_busy_score
LADWP - John Ferraro Building,Los Angeles,90012,Los Angeles,338,12,350,102.5
LADWP - John Ferraro Building,Los Angeles,90012,Los Angeles,338,12,350,102.5
LADWP - John Ferraro Building,Los Angeles,90012,Los Angeles,338,12,350,102.5
LADWP - John Ferraro Building,Los Angeles,90012,Los Angeles,338,12,350,102.5
LADWP - John Ferraro Building,Los Angeles,90012,Los Angeles,338,12,350,102.5
LADWP - John Ferraro Building,Los Angeles,90012,Los Angeles,338,12,350,102.5
LADWP - John Ferraro Building,Los Angeles,90012,Los Angeles,338,12,350,102.5
LADWP - John Ferraro Building,Los Angeles,90012,Los Angeles,338,12,350,102.5
LADWP - John Ferraro Building,Los Angeles,90012,Los Angeles,338,12,350,102.5
LADWP - John Ferraro Building,Los Angeles,90012,Los Angeles,338,12,350,102.5
LADWP - John Ferraro Building,Los Angeles,90012,Los Angeles,338,12,350,102.5
LADWP - John Ferraro Building,Los Angeles,90012,Los Angeles,338,12,350,102.5
LADWP - John Ferraro Building,Los Angeles,90012,Los Angeles,338,12,350,102.5
LADWP - John Ferraro Building,Los Angeles,90012,Los Angeles,338,12,350,102.5
LADWP - John Ferraro Building,Los Angeles,90012,Los Angeles,338,12,350,102.5
LADWP - John Ferraro Building,Los Angeles,90012,Los Angeles,338,12,350,102.5
LADWP - John Ferraro Building,Los Angeles,90012,Los Angeles,338,12,350,102.5
LADWP - John Ferraro Building,Los Angeles,90012,Los Angeles,338,12,350,102.5
LADWP - John Ferraro Building,Los Angeles,90012,Los Angeles,338,12,350,102.5
LADWP - John Ferraro Building,Los Angeles,90012,Los Angeles,338,12,350,102.5
LADWP - John Ferraro Building,Los Angeles,90012,Los Angeles,338,12,350,102.5
LADWP - John Ferraro Building,Los Angeles,90012,Los Angeles,338,12,350,102.5
LADWP - John Ferraro Building,Los Angeles,90012,Los Angeles,338,12,350,102.5
LADWP - John Ferraro Building,Los Angeles,90012,Los Angeles,338,12,350,102.5
LADWP - John Ferraro Building,Los Angeles,90012,Los Angeles,338,12,350,102.5
LADWP - John Ferraro Building,Los Angeles,90012,Los Angeles,338,12,350,102.5
LADWP - John Ferraro Building,Los Angeles,90012,Los Angeles,338,12,350,102.5
LADWP - John Ferraro Building,Los Angeles,90012,Los Angeles,338,12,350,102.5
LADWP - John Ferraro Building,Los Angeles,90012,Los Angeles,338,12,350,102.5
