id,station_name,status_code,ev_network,ev_network_web,city,county,state,zip,latitude,longitude,ev_dc_fast_num,ev_level2_evse_num,ev_connector_types,access_days_time,facility_type,station_phone,region
1517,LADWP - Truesdale Center,E,SHELL_RECHARGE,https://www.shell.us/motorist/electric-vehicle-charging.html,Sun Valley,,CA,91352,34.2483191527193,-118.3879713743439,2,57,"CHADEMO,J1772,J1772COMBO",Fleet use only,UTILITY,,Sun Valley
1523,Los Angeles Convention Center,E,Non-Networked,,Los Angeles,,CA,90015,34.040539,-118.271387,0,7,J1772,5:30am-9pm; pay lot,PARKING_GARAGE,213-741-1151,Los Angeles
1525,LADWP - John Ferraro Building,E,Non-Networked,,Los Angeles,,CA,90012,34.059133,-118.248589,12,338,"CHADEMO,J1772,J1772COMBO",For fleet and employee use only,UTILITY,,Los Angeles
1531,LADWP - Haynes Power Plant,E,Non-Networked,,Long Beach,,CA,90803,33.759802,-118.096665,1,19,"CHADEMO,J1772,J1772COMBO",Fleet use only,UTILITY,,Long Beach
1552,LADWP - Harbor Generating Station,E,Non-Networked,,Wilmington,,CA,90744,33.770508,-118.265628,0,10,J1772,Fleet use only,UTILITY,,Wilmington
1556,LADWP - Sylmar West,E,Non-Networked,,Sylmar,,CA,91342,34.30309,-118.480505,0,2,J1772,Fleet use only,UTILITY,,Sylmar
1572,LADWP - EV Service Center,E,Non-Networked,,Los Angeles,,CA,90012,34.066801,-118.227605,1,46,"CHADEMO,J1772",Fleet and employee use only,UTILITY,,Los Angeles
1573,LADWP - Fairfax Center,E,Non-Networked,,Los Angeles,,CA,90016,34.036777,-118.368841,0,13,J1772,Fleet use only,UTILITY,,Los Angeles
1589,LADWP - Palmetto Center,E,Non-Networked,,Los Angeles,,CA,90013,34.039736,-118.236065,0,27,J1772,Fleet use only,UTILITY,,Los Angeles
6355,Scripps Green Hospital,E,Non-Networked,,La Jolla,,CA,92037,32.89947,-117.243,0,1,J1772,24 hours daily,HOSPITAL,,La Jolla
6405,Galpin Motors,E,Non-Networked,,Sepulveda,,CA,91343,34.221665,-118.468371,0,2,J1772,Dealership business hours; customer use only,CAR_DEALER,855-889-2811,Sepulveda
6425,Galleria at Tyler,E,Non-Networked,,Riverside,,CA,92503,33.909914,-117.459053,0,4,J1772,6am-12am daily,SHOPPING_MALL,951-351-3110,Riverside
6505,City of Pasadena - Holly Street Garage,E,Non-Networked,,Pasadena,,CA,91103,34.14762,-118.147111,0,26,J1772,24 hours daily; pay lot,PARKING_GARAGE,626-744-7665,Pasadena
6506,City of Pasadena - De Lacey Garage,E,Non-Networked,,Pasadena,,CA,91105,34.145138,-118.152655,0,3,J1772,24 hours daily; pay lot,PARKING_GARAGE,626-744-7665,Pasadena
6507,City of Pasadena - Schoolhouse Garage,E,Non-Networked,,Pasadena,,CA,91105,34.145119,-118.150133,0,3,J1772,24 hours daily; pay lot,PARKING_GARAGE,626-744-7665,Pasadena
6509,Bristol Farms,E,Non-Networked,,South Pasadena,,CA,91030,34.118433,-118.149597,0,0,,24 hours daily,GROCERY,626-441-5450,South Pasadena
7172,Hyatt Regency Long Beach,E,Non-Networked,,Long Beach,,CA,90802,33.7637,-118.192,0,1,J1772,24 hours daily; pay lot; guest use only; see valet for access,HOTEL,562-491-1234,Long Beach
7184,Los Angeles International Airport (LAX) - Lot 6,E,Non-Networked,,Los Angeles,,CA,90045,33.94325,-118.403342,0,20,J1772,24 hours daily; pay lot,AIRPORT,310-646-2911,Los Angeles
7192,Northridge Fashion Center East Garage Lower Level,E,SHELL_RECHARGE,https://www.shell.us/motorist/electric-vehicle-charging.html,Northridge,,CA,91324,34.238716,-118.554686,0,5,J1772,Mon: 6:00am-11:59pm; Tue: 6:00am-11:59pm; Wed: 6:00am-11:59pm; Thu: 6:00am-11:59pm; Fri: 6:00am-11:59pm; Sat: 6:00am-11:59pm; Sun: 6:00am-11:59pm,,855-900-7584,Northridge
7195,Courtyard Marriott - Oxnard Ventura,E,Non-Networked,,Oxnard,,CA,93030,34.228315,-119.170865,0,1,J1772,24 hours daily; guest use only; 2 hour limit,HOTEL,805-988-3600,Oxnard
7196,Hilton - Palm Springs,E,Non-Networked,,Palm Springs,,CA,92262,33.824004,-116.543589,0,2,J1772,24 hours daily; pay lot; priority given to registered guests,HOTEL,760-320-6868,Palm Springs
7206,Inland Empire Foods,E,Non-Networked,,Riverside,,CA,92509,34.0189,-117.38,0,4,"J1772,TESLA",8am-4:30pm M-F,OFFICE_BLDG,951-682-8222,Riverside
